Science;MC;Welches der Folgenden Elemente ist kein Alkalimetall?;Rhodium;Natrium;Rubidium;Lithium
Science;MC;Wofür sind Neutronenemissionen, Gammastrahlung und Spontane Emissionen Beispiele?;Radioaktiver Zerfall;Radioaktive Waffen;Medizinische Behandlungen;Radiometrische Datierung
Science;MC;Die Umlaufbahn welches Planeten ist der Umlaufbahn der Erde am nächsten?;Venus;Saturn;Mars;Merkur
Computer;MC;Wie heißt das Facebook-Spiel;in dem der benutzer eine Farm kontrollieren und verwalten muss?;Farmville;Pet Zoo;Harvestville;Harvest Moon
Computer;MC;Welches der folgenden Spiele gab es NICHT für das NES (Nintendo Entertainment System)?;Warcraft;Shuffle Puck Cafe;Skate or die;The Simpsons
Computer;MC;Wie heißt die beliebte Fußballspiel-Serie von EA?;FIFA;GOAL;S.C.O.R.E.;Super Soccer
Sport;MC;In welchem Jahr wurde Nico Rosberg geboren?;1985;1984;1986;1988
Sport;MC;Wer spielt in der Saison 2013/14 nicht in der BEKO Basketball Bundesliga?;Bayer Giants Leverkusen;Brose Baskets;medi Bayreuth;Walter Tigers T�bingen
Sport;MC;Nahe welcher Stadt befindet sich die Galopprennbahn von Iffezheim?;Baden-Baden;Düsseldorf;Worms;Straubing
Society;MC;Welches Wahrzeichen feiert 2014 seinen 125. Geburtstag?;Eifelturm;Kleine meerjungfrau;Atomium;Sagrada Familia
Society;MC;Welches Wort wurde in Deutschland im Jahr 2004 zum "Unwort des Jahres" gekürt?;Humankapital;Ich-AG;Gotteskrieger;Opfer-Abo
Society;MC;Welche Band ging auf "A Bigger Bang-Tour" 2005?;Rolling Stones;R.E.M.;Motorhead;Kiss
Economy;MC;Wie hei�t eine Technik zur Verbesserung der Bildqualität?;MIP Mapping;DUB Dapping;WOP Wapping;ZIP Zapping
Economy;MC;Wie hie� der deutsche Autohersteller, der 1949 das dreirädrige Fahrzeug "GD 750" für vielfältige Transportaufgaben auf den Markt brachte?;Goliath;David;Herkules;Salomon
Economy;MC;In welchem Jahr kam die erste iPhone-Generation auf den Markt?;2007;2001;2005;2009
International;MC;Was ist die Hauptstad des Landes Hessen?;Wiesbaden;Göttingen;Kassel;Frankfurt am Main
International;MC;In welcher Stadt findet man die Votivikirche, das Schloss Schönbrunn und den Millenium Tower?;Wien;Salzburg;D�sseldorf;M�nchen
International;MC;Welche deutsche Stadt wurde im römischen Stil erbaut und hat die Porta Nigra als Stadttor?;Trier;Regensburg;Burghausen;Koblenz
Influence;MC;Zum 1. Februar 2014 werden Online-lastschriften auf das "SEPA-Verfahren" umgestellt. Was bedeutdet die Abk�rzung "SEPA"?;Single Euro Payments Area;Storno Euro Pax Advise;Single Evolution Pay Areal;Storno Egality Program Agil
Influence;MC;Seit wann geh�rt Spanien zur Europäischen Union oder zu Vorgängern dieser?;1986;1973;1958 (Gr�ndungsland);1995
Influence;MC;Wer war unmittelbar vor Gerald Ford US-Präsident?;Richard Nixon;John F. Kennedy;Jimmy Carter;Harry S. Truman
Computer;MC;Welches der folgenden Unternehmen ist eine Größe bei Smartphone-Spielen?;Rovio;Id Software;Oracale;3D Realms
Computer;MC;Wie heißt Microsofts erste Videospiel-Konsole?;XBox;Playstation;Gamecube;Dreamcast
Computer;MC;Wovon ernähren sich die Goronen in "The Legend of Zelda" hauptsächlich?;Steine;Sonnenenergie;Planzen;Fische
Sports;MC;Welches NBA Team gewann in der Saison 13/14 die NBA Playoffs?;San Antonio Spurs;Miami Heat;LA Clippers;Golden State Warriors
Sports;MC;Wer wurde 1976 Formel 1 Weltmeister?;James Hunt;Niki Lauda;Jody Scheckter;Alain Prost
Sports;MC;Wer hat 2014 den Super Bowl gewonnen?;Seattle Seahawks;Denver Broncos;New York Giants;Rockland Raiders
Economy;MC;Was bedeutet der Name der Automarke Volvo?;"ich rolle";"wir fahren";"ich lebe";"steig ein"
Economy;MC;Wann wurde das Space Shuttle Programm der NASA (STS) eingestellt?;2011;2007;2001;2013
Economy;MC;Was bedeutet die Abk�rzung des US-Amerikanischen Chip-Herstellers 'AMD'?;Advanced Micro Devices;All Material Devices;Alternative Micro Devices;Advanced Master Device
Sport;MC;Für was ist Mirko "Cro Cop" Filipovic bekannt?;Left High Kick;Headbutt;Bodyslam;Jumping Knee
Sport;MC;Wie oft hat Luiz Suarez einen anderen Spieler gebissen?;3;2;5;4
Sport;MC;Was passiert bei einem "Gogoplata"?;Man w�rgt seinen Gegner mit dem Fu�;Man tantzt;Man macht einen einbeinigen Salto;Man motiviert sich selber
History;MC;Wann war die Kubakrise?;1962;1961;1964;1972
History;MC;Was bedeutet die Abk�rzung UdSSR?;Union der Sozialistischen Sovietrepublik;Union der SozialSozialistischen Rechten;Union der Sozial Sozialistischen Regierung








