Science;MC;Welches der Folgenden Elemente ist kein Alkalimetall?;Rhodium;Natrium;Rubidium;Lithium;
Science;MC;Wofür sind Neutronenemissionen, Gammastrahlung und Spontane Emissionen Beispiele?;Radioaktiver Zerfall;Radioaktive Waffen;Medizinische Behandlungen;Radiometrische Datierung;
Science;MC;Die Umlaufbahn welches Planeten ist der Umlaufbahn der Erde am nächsten?;Venus;Saturn;Mars;Merkur;
Computers;MC;Wie heißt das Facebook-Spiel;in dem der benutzer eine Farm kontrollieren und verwalten muss?;Farmville;Pet Zoo;Harvestville;Harvest Moon;
Computers;MC;Welches der folgenden Spiele gab es NICHT für das NES (Nintendo Entertainment System)?;Warcraft;Shuffle Puck Cafe;Skate or die;The Simpsons;
Computers;MC;Wie heißt die beliebte Fußballspiel-Serie von EA?;FIFA;GOAL;S.C.O.R.E.;Super Soccer;
Sports;MC;In welchem Jahr wurde Nico Rosberg geboren?;1985;1984;1986;1988;
Sports;MC;Wer spielt in der Saison 2013/14 nicht in der BEKO Basketball Bundesliga?;Bayer Giants Leverkusen;Brose Baskets;medi Bayreuth;Walter Tigers Tübingen;
Sports;MC;Nahe welcher Stadt befindet sich die Galopprennbahn von Iffezheim?;Baden-Baden;Düsseldorf;Worms;Straubing;
International;MC;Welches Wahrzeichen feiert 2014 seinen 125. Geburtstag?;Eifelturm;Kleine meerjungfrau;Atomium;Sagrada Familia;
International;MC;Welches Wort wurde in Deutschland im Jahr 2004 zum "Unwort des Jahres" gekürt?;Humankapital;Ich-AG;Gotteskrieger;Opfer-Abo;
International;MC;Welche Band ging auf "A Bigger Bang-Tour" 2005?;Rolling Stones;R.E.M.;Motörhead;Kiss;
Computers;MC;Wie heißt eine Computers zur Verbesserung der Bildqualität?;MIP Mapping;DUB Dapping;WOP Wapping;ZIP Zapping;
Computers;MC;Wie hieß der deutsche Autohersteller, der 1949 das dreirädrige Fahrzeug "GD 750" für vielfältige TranSportsaufgaben auf den Markt brachte?;Goliath;David;Herkules;Salomon;
Computers;MC;In welchem Jahr kam die erste iPhone-Generation auf den Markt?;2007;2001;2005;2009;
International;MC;Was ist die Hauptstad des Landes Hessen?;Wiesbaden;Göttingen;Kassel;Frankfurt am Main;
International;MC;In welcher Stadt findet man die Votivikirche, das Schloss Schönbrunn und den Millenium Tower?;Wien;Salzburg;Düsseldorf;München;
International;MC;Welche deutsche Stadt wurde im römischen Stil erbaut und hat die Porta Nigra als Stadttor?;Trier;Regensburg;Burghausen;Koblenz;
Influence;MC;Zum 1. Februar 2014 werden Online-lastschriften auf das "SEPA-Verfahren" umgestellt. Was bedeutdet die Abkürzung "SEPA"?;Single Euro Payments Area;Storno Euro Pax Advise;Single Evolution Pay Areal;Storno Egality Program Agil;
Influence;MC;Seit wann gehört Spanien zur Europäischen Union oder zu Vorgängern dieser?;1986;1973;1958 (Gründungsland);1995;
